Clustering_Algorithm,N_Clusters,Dataset,Metric,Value,Data_Perspective
K_Means,2,Madelon,SSE,901709.4212306888,BASE
K_Means,5,Madelon,SSE,891880.8627348235,BASE
K_Means,10,Madelon,SSE,885554.7495464822,BASE
K_Means,15,Madelon,SSE,881723.6105713038,BASE
K_Means,20,Madelon,SSE,878695.3360267441,BASE
K_Means,25,Madelon,SSE,875795.6999362559,BASE
K_Means,30,Madelon,SSE,873355.7304788167,BASE
K_Means,35,Madelon,SSE,870519.7630835772,BASE
K_Means,40,Madelon,SSE,867758.1946990085,BASE
K_Means,2,Cars,SSE,29401.376985075283,BASE
K_Means,5,Cars,SSE,23544.0,BASE
K_Means,10,Cars,SSE,20766.52100840336,BASE
K_Means,15,Cars,SSE,18434.347508305647,BASE
K_Means,20,Cars,SSE,16864.210733907363,BASE
K_Means,25,Cars,SSE,16172.144927536234,BASE
K_Means,30,Cars,SSE,15779.951647102542,BASE
K_Means,35,Cars,SSE,15255.898390057366,BASE
K_Means,40,Cars,SSE,14763.80184162816,BASE
EM,2,Madelon,log-likelihood,-591.9980049574193,BASE
EM,5,Madelon,log-likelihood,329.7913391483455,BASE
EM,10,Madelon,log-likelihood,1286.118438048465,BASE
EM,15,Madelon,log-likelihood,1713.3630477110064,BASE
EM,20,Madelon,log-likelihood,2010.1218054053863,BASE
EM,25,Madelon,log-likelihood,2076.2945493028,BASE
EM,30,Madelon,log-likelihood,2223.6876783368853,BASE
EM,35,Madelon,log-likelihood,2336.451250303373,BASE
EM,40,Madelon,log-likelihood,2414.313479303647,BASE
EM,2,Cars,log-likelihood,9.665406229905855,BASE
EM,5,Cars,log-likelihood,33.030847816975545,BASE
EM,10,Cars,log-likelihood,42.5900889788944,BASE
EM,15,Cars,log-likelihood,49.153591236177775,BASE
EM,20,Cars,log-likelihood,53.85643921491168,BASE
EM,25,Cars,log-likelihood,54.424547920926855,BASE
EM,30,Cars,log-likelihood,55.6359184560475,BASE
EM,35,Cars,log-likelihood,57.737065833163,BASE
EM,40,Cars,log-likelihood,60.02455602425915,BASE
GMM,2,Cars,Accuracy,0.7002314814814815,BASE
